Plant,Disease,Symptoms,Causes,Recommended Treatments,Preventive Measures,Organic Treatment Options,Alternative Prevention Methods,Procedure Video Link,Graphical Representation
Apple, Apple_Apple Scab,"Olive-green, velvety spots on leaves & fruits",Venturia inaequalis (fungus),Apply Captan or Mancozeb fungicide,"Grow resistant varieties (Liberty, Enterprise), prune infected areas","Neem oil spray, Copper fungicides","Crop rotation, Biological control (Trichoderma fungi)",https://youtu.be/ayCIf0V34Yc?si=8B9OE7MCheXhEa9V  / https://youtu.be/RjvLyOOlgjQ?si=j3-Plo_mg2RzB5yJ / https://youtu.be/nfee4m7Wgek?si=riVujskOrh6wYOvU,https://ag.umass.edu/sites/ag.umass.edu/files/fact-sheets/images/apple-scab_02a.jpg
Apple, Apple_Black Rot,"Brown circular lesions, fruit shriveling",Botryosphaeria obtusa (fungus),"Remove infected fruits, spray fungicides","Maintain proper sanitation, remove mummified fruit","Bordeaux mixture, Lime sulfur spray","Improve air circulation, Proper pruning",https://youtu.be/ZimkfcWq0no?si=DBiQwQZ6xyvLJPAw,https://th.bing.com/th/id/OIP.mcsqAKEjBqOYvLeoOilprAHaHa?rs=1&pid=ImgDetMain
Apple, Apple_Cedar Apple Rust,"Orange spots on leaves, fungal galls on twigs",Gymnosporangium juniperi-virginianae (fungus),Apply myclobutanil or mancozeb,"Remove nearby juniper trees (host), prune infected leaves",Sulfur-based sprays,Avoid planting near junipers,https://youtu.be/K9M8CkaIQho?si=BIjtBZUWnE87CEG4,https://mmtreecare.com/wp-content/uploads/2016/12/Cedar_apple_rust-906x475.jpg
Bell Pepper, Bell Pepper_Bacterial Spot,Water-soaked lesions on leaves & fruit,Xanthomonas campestris (bacteria),Copper-based bactericide spray,"Use disease-free seeds, avoid overhead watering",Copper hydroxide spray,Crop rotation with non-host plants,https://youtu.be/t1eIkOhfYbk?si=ejhJKKbogygTPIxn  /  https://youtu.be/XPtRY8pANzU?si=J1cs8NJsQaj_JHLB,https://vegcropshotline.org/wp-content/uploads/2023/03/PICT0015-1-1024x768.jpg
Cherry, Cherry_Powdery Mildew,White powdery patches on leaves,Podosphaera clandestina (fungus),Use sulfur-based fungicides,"Proper pruning, avoid excessive nitrogen","Neem oil, Sulfur sprays",Increase air circulation,https://youtu.be/IfwojJr-ZGQ?si=Zf4nkIS9LvHu3zlx ,https://th.bing.com/th/id/OIP.2IW16aeIhK8vQFe8zkvNcQHaE7?rs=1&pid=ImgDetMain
Corn, Corn (Maize)_Cercospora Leaf Spot,Grayish-brown spots on leaves,Cercospora zeae-maydis (fungus),Apply azoxystrobin or propiconazole fungicide,"Use resistant hybrids, rotate crops",Bordeaux mixture,Plant corn in well-spaced rows,https://youtu.be/uh1VNnw4cAc?si=gQRTQKY7KUr_txU3,https://th.bing.com/th/id/OIP.y4XJOtCl1XGSf08fAlJ58QHaFN?rs=1&pid=ImgDetMain
Corn, Corn (Maize)_Common Rust,Reddish-brown pustules on leaves,Puccinia sorghi (fungus),Apply fungicides like tebuconazole,"Use resistant hybrids, avoid dense planting",Sulfur sprays,Timely planting to avoid peak infection time,https://youtu.be/XFrrQOuhA4E?si=Zamb9qFPbA_sCEs9,https://www.krishisewa.com/images/dm8.jpg
Corn, Corn (Maize)_Northern Leaf Blight,Large cigar-shaped lesions on leaves,Exserohilum turcicum (fungus),Spray fungicides like mancozeb,"Plant resistant varieties, remove crop debris",Copper fungicides,Use balanced nitrogen fertilizers,https://youtu.be/E6CvP7Lx6M0?si=Ihl2jOk27ZVsIybp / https://youtu.be/NCfaWhGR99k?si=nQo5RSbJH7spDtE9,https://th.bing.com/th/id/OIP.8O-FV6mnUTjYwBLdsFjHeQHaEx?rs=1&pid=ImgDetMain
Grape, Grape_Black Rot,"Brown spots on leaves, shriveled grapes",Guignardia bidwellii (fungus),Apply myclobutanil or captan,"Prune infected vines, remove debris","Neem oil, Lime sulfur spray",Avoid overhead irrigation,https://youtu.be/waIQu9GzSyk?si=TtSkEJJVXbP3vFNT,https://media.sciencephoto.com/image/c0121047/800wm/C0121047-Black_rot_of_grape.jpg
Grape, Grape_Esca (Black Measles),"Yellowing leaves, dark streaks in wood",Complex fungal infection,Remove infected vines,"Proper pruning, balanced fertilization",Trichoderma-based biofungicides,Delay pruning in wet conditions,https://youtu.be/2Wq8TKBXJWY?si=yt0osiwOKM0v0qC3,https://th.bing.com/th/id/OIP.EIZUmAwgaPFh6nKBFbqrMQHaEK?rs=1&pid=ImgDetMain
